news_headline,news_article,news_category
"Singapore man insults Indians in coronavirus tweet, minister assures action","Singapore Law Minister K Shanmugam has said action will be taken against a man for insulting Indians on social media. The man had tweeted that amid the coronavirus outbreak, ""those who sit too close to each other are Malays, Indians or foreigners, and not true blue Singaporeans"". Shanmugam said the tweet was ""done deliberately to stoke anger, unhappiness, racial tensions"".",world
UK PM Boris Johnson names his son after doctors who saved his life as first pic out,"UK PM Boris Johnson and his fiancée Carrie Symonds have named their baby boy Wilfred Lawrie Nicholas Johnson. Carrie also shared a picture of their newborn son on Instagram and revealed 'Nicholas' in his name is after Dr Nick Price and Dr Nick Hart, the two doctors who saved Boris' life last month after he was diagnosed with coronavirus.",world
US man tries to self-isolate on private Disney island closed for public; arrested,"A 42-year-old US man was arrested this week for trespassing after he was found self-isolating on a private Disney island closed for the public since 1999. Police searched for him on foot, by helicopter, and by boat before finally making contact with him. The man had plans to camp there for a week and called the place a ""tropical paradise"".",world
Doctors gave me 'litres and litres of oxygen' to keep me alive: UK PM Johnson,"UK Prime Minister Boris Johnson has revealed that while battling coronavirus doctors gave him ""litres and litres of oxygen"" so as to keep him alive. In an interview with The Sun, Johnson said his stay in London's St Thomas' Hospital left him driven by a desire to both stop others' suffering and to get the UK ""back on its feet"".",world
"Russia records its highest daily rise in COVID-19 cases as 10,633 people infected","Russia on Sunday recorded its highest daily rise in confirmed coronavirus cases as 10,633 people got infected, bringing the total number of cases to 134,687. The nationwide death toll rose to 1,280 on Sunday, Russia's coronavirus crisis response centre said on its website. More than half of the cases and deaths in Russia have been reported from Moscow.",world
Italy reports lowest daily COVID-19 death toll since 1st day of lockdown as 174 die,"As many as 174 people died of coronavirus in Italy on Sunday, the lowest daily death toll in the country since the first day of lockdown (March 10). The total death toll in the country rose to 28,884. The total number of coronavirus cases in Italy has risen to 210,717, the third-highest global tally behind those of US and Spain.",world
UK PM Johnson reveals doctors prepared to announce his death as he battled coronavirus,"UK PM Boris Johnson has revealed doctors prepared to announce his death as he battled coronavirus. ""They had a strategy to deal with 'death of Stalin'-type scenario,"" he told The Sun. ""I wasn't in particularly brilliant shape and I was aware there were contingency plans in place,"" he added. He revealed he ""really didn’t want to go to hospital"" initially.",world
"North Korea fires multiple gunshots at South Korean guard post, S Korea hits back","South Korea responded by firing two shots towards North Korea, after the latter fired multiple gunshots at a South Korean guard post in the Demilitarised Zone. No casualties or damage to South Korean facilities were reported, South Korean Joint Chiefs of Staff said, adding, ""We are taking actions...to prevent any further incidents. And we also maintain a necessary readiness posture.""",world
We believe Kim Jong-un did not have heart surgery: South Korean govt official,"South Korea's assessment is that North Korean leader Kim Jong-un didn't have a heart surgery, local news outlet Yonhap said, citing an unidentified senior government official. ""We've reasons to believe that there was no surgery, but cannot disclose such details,"" the official reportedly said. Kim was recently seen at a ceremony after disappearing from media coverage for around 20 days.",world
I am glad to see he is back and well: Trump after Kim Jong-un's photos released,"After North Korean state media released pictures of leader Kim Jong-un, US President Donald Trump said, ""I am glad to see he is back and well!"" In the pictures, Kim can be seen smiling and talking to aides at a fertiliser plant's inauguration ceremony. Reports had earlier claimed that Kim died after a cardiovascular surgery.",world
Shots fired from N Korea at S Korean guard post likely accidental: US,"US Secretary of State Mike Pompeo said shots fired from North Korea at a South Korean guard post in the Demilitarised Zone are likely to be accidental. ""South Koreans did return fire. There was no loss of life on either side,"" Pompeo added. The incident came after North Korean leader Kim Jong-un made his first public appearance since April 11.",world
North Korean leader Kim Jong-un seen smoking after reports of heart surgery,"In a video released by North Korean state media, leader Kim Jong-un can be seen smoking a cigarette. This comes amid reports that he underwent a cardiovascular surgery. Kim was seen at a fertiliser plant's inauguration ceremony after disappearing from media coverage for around 20 days. State media released pictures of Kim with his aides.",world
1/3rd of 500 random COVID-19 tests found +ve in Afghanistan,"One-third of random COVID-19 tests in Afghanistan's capital Kabul came back positive, the country's Health Ministry said. The results of the random tests are concerning, the number of COVID-19 cases in Afghanistan will likely rise sharply as more testing becomes available, a Health Ministry spokesman said. Afghanistan has so far tested nearly 12,000 people out of which 2,700 tested positive.",world
Bangladesh reports its biggest rise in daily COVID-19 cases at 665,"Bangladesh on Sunday reported 665 new cases of coronavirus in the previous 24 hours, its biggest one-day jump in virus cases, increasing its total virus cases to 9,455. Bangladesh reported two deaths from coronavirus during the same period, taking its total death toll to 177. A Bangladeshi health official said that the country has conducted 81,434 coronavirus tests.",world
Ex-US Prez Bush urges Americans to be empathetic during pandemic,"Former US President George Bush urged Americans to be empathetic, compassionate and kind during the coronavirus pandemic. Bush also said that these are essential and powerful tools of national recovery. The US is the worst coronavirus-hit country in the world with over 11 lakh cases of the virus and over 66,000 deaths from the virus.",world
"Vietnam reports first COVID-19 case in 9 days, total cases at 271","Vietnam on Sunday reported its first COVID-19 case in nine days taking its total virus cases to 271, the country's Health Ministry said. The patient is a British oil expert who was quarantined on arrival, it added. Vietnam has reported no deaths from COVID-19. The country has carried out 2.61 lakh COVID-19 tests and quarantined 30,500 people.",world
"647 foreign workers test COVID-19 +ve in Singapore, cases cross 18,000","Singapore on Sunday reported 657 new cases of COVID-19, including 647 virus cases detected in foreign workers, in the previous 24 hours as the total virus cases in the country rose to 18,205. ""While the number of community cases has come down, we are not out of the woods yet,"" Singapore's Health Minister Gan Kim Yong said.",world
"Pakistan reports 989 new COVID-19 cases, total cases exceed 19,000","Pakistan on Sunday reported 989 new cases of COVID-19 in the previous 24 hours, taking its total virus cases to 19,103. The country reported 23 deaths from COVID-19 during the same period, taking its total deaths from the virus to 440. Authorities in Pakistan have reportedly conducted 2.03 lakh coronavirus tests in total.",world
S Korea to further relax COVID-19 social distancing rules from May 6,"South Korea will further relax COVID-19 social distancing guidelines from May 6, allowing gatherings and events to take place, Prime Minister Chung Sye-kyun said. ""The government will allow businesses to resume at facilities in phases that had remained closed up until now,"" he added. South Korea on Sunday reported 13 new cases of coronavirus in the previous 24 hours.",world
Spain allows citizens to leave home for first time in 7 weeks,"Spain allowed its citizens to leave their homes to play sports or exercise for the first time in seven weeks after imposing a lockdown amid coronavirus pandemic. The relaxation of exercise restrictions is one of the first steps in a four-phased plan to reopen the country. Spain on Sunday reported 164 coronavirus deaths, the lowest daily increase since March 18.",world
Brazil court suspends Prez's decision to expel Venezuela's diplomats,Brazil's Supreme Court suspended for 10 days Brazilian President Jair Bolsonaro's decision to expel Venezuela's diplomats and consular staff from the country. Brazil is among over 50 countries that don't recognise the legitimacy of Venezuelan President Nicolas Maduro. Brazil recognises Venezuelan opposition leader Juan Guaido as interim president and his envoy as Venezuela's ambassador.,world
Afghanistan probes whether Iranian guards forced migrants into river,"Afghan officials launched an investigation into reports that Iranian border guards tortured and forced at least 70 Afghans into a river to stop them from entering Iran. However, the Iranian consulate in Herat, Afghanistan denied the allegations. ""Iranian soldiers warned us that if we don't throw ourselves into...water, we'll be shot,"" Shir Agha, who claims to be a survivor, said.",world
8 mercenaries killed during a foiled invasion: Venezuelan Govt,"Venezuela's Interior Minister Nestor Reverol said that the government foiled an invasion attempt from the sea by ""terrorist mercenaries"" from Colombia on Sunday. They wanted to commit terrorist acts in Venezuela and murder the country's leaders, Reverol added. A leader of Venezuela's ruling party said that security forces killed eight people and detained two others.",world
Rohingya refugees stranded at sea for weeks arrive in Bangladesh,"At least 29 Rohingya refugees, who were stranded at sea for weeks, landed on a Bangladeshi island, officials said on Sunday. Food, doctors and a team of 10 policemen were sent to the island to take care of the refugees, local government administrator Tonmoy Das said. The refugees reportedly tried to reach Malaysia illegally but failed because of strict patrols.",world
