news_headline,news_article,news_category,full_text,clean_text
"As always, I am optimistic about Tesla long-term: CEO Elon Musk ","Tesla CEO Elon Musk said he's optimistic about the company in the long-term, a day after he wrote about Tesla's stock being too high. His remark came after a user said, ""You're killing every investor that invested in you and Tesla right now."" After the stock price tweet, Tesla's shares fell around 10%, wiping $14 billion off its market value.

",technology,"As always, I am optimistic about Tesla long-term: CEO Elon Musk . Tesla CEO Elon Musk said he's optimistic about the company in the long-term, a day after he wrote about Tesla's stock being too high. His remark came after a user said, ""You're killing every investor that invested in you and Tesla right now."" After the stock price tweet, Tesla's shares fell around 10%, wiping $14 billion off its market value.

",always optimistic tesla longterm ceo elon musk tesla ceo elon musk said optimistic company longterm day wrote tesla stock high remark came user said killing every investor invested tesla right stock price tweet tesla share fell around 10 wiping 14 billion market value
Microwave steriliser to 'disintegrate' COVID-19 made in Pune,"Pune-based Defence Institute of Advanced Technology has developed a microwave steriliser called 'ATULYA' to ""disintegrate"" COVID-19. ATULYA disintegrates the virus by differential heating in the range of 56 degrees to 60 degrees celsius, the Defence Ministry said. It is cost-effective and can be operated in portable or fixed installations, Ministry added. ",technology,"Microwave steriliser to 'disintegrate' COVID-19 made in Pune. Pune-based Defence Institute of Advanced Technology has developed a microwave steriliser called 'ATULYA' to ""disintegrate"" COVID-19. ATULYA disintegrates the virus by differential heating in the range of 56 degrees to 60 degrees celsius, the Defence Ministry said. It is cost-effective and can be operated in portable or fixed installations, Ministry added. ",microwave steriliser disintegrate covid19 made pune punebased defence institute advanced technology ha developed microwave steriliser called atulya disintegrate covid19 atulya disintegrates virus differential heating range 56 degree 60 degree celsius defence ministry said costeffective operated portable fixed installation ministry added
Smartphone demand won't be optimistic if people's income is affected: Realme,"Realme CEO Madhav Sheth said that the demand for smartphones in 2020 may not be ""optimistic"" if India's economy and people's income is hampered. ""We'll need to evaluate further how the economy recovers post the market reopens,"" he said. Sheth added that Realme has sought the government's approval to reopen its factory and said it'll strictly abide by their orders.",technology,"Smartphone demand won't be optimistic if people's income is affected: Realme. Realme CEO Madhav Sheth said that the demand for smartphones in 2020 may not be ""optimistic"" if India's economy and people's income is hampered. ""We'll need to evaluate further how the economy recovers post the market reopens,"" he said. Sheth added that Realme has sought the government's approval to reopen its factory and said it'll strictly abide by their orders.",smartphone demand optimistic people income affected realme realme ceo madhav sheth said demand smartphones 2020 may optimistic india economy people income hampered need evaluate economy recovers post market reopens said sheth added realme ha sought government approval reopen factory said strictly abide order
TikTok to let users report 'misleading' information,"TikTok released an in-app feature which lets users report posts which ""they believe contains intentionally deceptive information"". Users can report posts by selecting 'Misleading Information' category. They can further report COVID-19 content through a sub-category within the feature. Any COVID-19 misinformation reported is sent to a ""priority moderation queue manned by an internal taskforce"".",technology,"TikTok to let users report 'misleading' information. TikTok released an in-app feature which lets users report posts which ""they believe contains intentionally deceptive information"". Users can report posts by selecting 'Misleading Information' category. They can further report COVID-19 content through a sub-category within the feature. Any COVID-19 misinformation reported is sent to a ""priority moderation queue manned by an internal taskforce"".",tiktok let user report misleading information tiktok released inapp feature let user report post believe contains intentionally deceptive information user report post selecting misleading information category report covid19 content subcategory within feature covid19 misinformation reported sent priority moderation queue manned internal taskforce
"Phones host cocktail of live germs, disinfect daily: Study","A study led by a Bond University researcher said mobile phones host a ""staggering cocktail of live germs"" and urged users to decontaminate their devices daily. It suggested devices should be disinfected regularly with ""either 70% isopropyl or by sanitising with (ultraviolet) devices like PhoneSoap"". It warned that phones could be acting as ""Trojan horses"" for coronavirus. 
",technology,"Phones host cocktail of live germs, disinfect daily: Study. A study led by a Bond University researcher said mobile phones host a ""staggering cocktail of live germs"" and urged users to decontaminate their devices daily. It suggested devices should be disinfected regularly with ""either 70% isopropyl or by sanitising with (ultraviolet) devices like PhoneSoap"". It warned that phones could be acting as ""Trojan horses"" for coronavirus. 
",phone host cocktail live germ disinfect daily study study led bond university researcher said mobile phone host staggering cocktail live germ urged user decontaminate device daily suggested device disinfected regularly either 70 isopropyl sanitising ultraviolet device like phonesoap warned phone could acting trojan horse coronavirus
Tesla extends furlough for workers by a week: Reports,"Tesla told its furloughed US employees they will remain out of work for ""at least another week"", media reports said. ""For furloughed employees, unless you are contacted by your manager about a start date, you will remain on furlough until further notice,"" it added. Last month, Tesla had furloughed workers who couldn't work remotely and weren't assigned critical onsite positions.",technology,"Tesla extends furlough for workers by a week: Reports. Tesla told its furloughed US employees they will remain out of work for ""at least another week"", media reports said. ""For furloughed employees, unless you are contacted by your manager about a start date, you will remain on furlough until further notice,"" it added. Last month, Tesla had furloughed workers who couldn't work remotely and weren't assigned critical onsite positions.",tesla extends furlough worker week report tesla told furloughed u employee remain work least another week medium report said furloughed employee unless contacted manager start date remain furlough notice added last month tesla furloughed worker could work remotely assigned critical onsite position
Info of 91 mn users of Indonesia's largest e-comm firm Tokopedia stolen,"A hacker allegedly stole personal details of 91 million users of Indonesia's largest e-commerce platform Tokopedia. The firm has said that it is investigating the attack and ensured that users' passwords were not stolen. As per data breach monitoring firm Under the Breach, the hacker stole users' emails, phone numbers, among others and offered them for ""$5,000 on the Darknet"".",technology,"Info of 91 mn users of Indonesia's largest e-comm firm Tokopedia stolen. A hacker allegedly stole personal details of 91 million users of Indonesia's largest e-commerce platform Tokopedia. The firm has said that it is investigating the attack and ensured that users' passwords were not stolen. As per data breach monitoring firm Under the Breach, the hacker stole users' emails, phone numbers, among others and offered them for ""$5,000 on the Darknet"".",info 91 mn user indonesia largest ecomm firm tokopedia stolen hacker allegedly stole personal detail 91 million user indonesia largest ecommerce platform tokopedia firm ha said investigating attack ensured user password stolen per data breach monitoring firm breach hacker stole user email phone number among others offered 5000 darknet
Jeff Bezos asked to testify about Amazon's alleged data abuse,"Amazon CEO Jeff Bezos has been asked by House Judiciary Committee to testify about Amazon's alleged third-party sellers' data abuse. The panel said that although it expected Bezos to testify on a voluntary basis, it reserved the right to ""resort to compulsory process if necessary"". Earlier, WSJ reported that Amazon allegedly used its sellers' data to make competing products.",technology,"Jeff Bezos asked to testify about Amazon's alleged data abuse. Amazon CEO Jeff Bezos has been asked by House Judiciary Committee to testify about Amazon's alleged third-party sellers' data abuse. The panel said that although it expected Bezos to testify on a voluntary basis, it reserved the right to ""resort to compulsory process if necessary"". Earlier, WSJ reported that Amazon allegedly used its sellers' data to make competing products.",jeff bezos asked testify amazon alleged data abuse amazon ceo jeff bezos ha asked house judiciary committee testify amazon alleged thirdparty seller data abuse panel said although expected bezos testify voluntary basis reserved right resort compulsory process necessary earlier wsj reported amazon allegedly used seller data make competing product
Tesla shares fall after Musk tweets its stock price is 'too high',"Tesla shares fell nearly 12% after its CEO Elon Musk tweeted its stock price was ""too high"" in his opinion. He also said he's selling ""almost all"" of his physical possessions and won't own a house, in another tweet. Musk also wrote series of tweets that included demands to ""give people back their freedom"" and lines from US National Anthem.",technology,"Tesla shares fall after Musk tweets its stock price is 'too high'. Tesla shares fell nearly 12% after its CEO Elon Musk tweeted its stock price was ""too high"" in his opinion. He also said he's selling ""almost all"" of his physical possessions and won't own a house, in another tweet. Musk also wrote series of tweets that included demands to ""give people back their freedom"" and lines from US National Anthem.",tesla share fall musk tweet stock price high tesla share fell nearly 12 ceo elon musk tweeted stock price wa high opinion also said selling almost physical possession house another tweet musk also wrote series tweet included demand give people back freedom line u national anthem
"Lawsuit against Oracle by 4,100 women over unequal pay approved","A California judge approved a lawsuit against Oracle over alleged unequal pay to advance on behalf of 4,100 women who claim it pays men more for doing the same job. The plaintiffs claim that all the women involved were paid on average over $13,000 less per year than men. The lawsuit was first filed in 2017 by three women.",technology,"Lawsuit against Oracle by 4,100 women over unequal pay approved. A California judge approved a lawsuit against Oracle over alleged unequal pay to advance on behalf of 4,100 women who claim it pays men more for doing the same job. The plaintiffs claim that all the women involved were paid on average over $13,000 less per year than men. The lawsuit was first filed in 2017 by three women.",lawsuit oracle 4100 woman unequal pay approved california judge approved lawsuit oracle alleged unequal pay advance behalf 4100 woman claim pay men job plaintiff claim woman involved paid average 13000 le per year men lawsuit wa first filed 2017 three woman
Report on Xiaomi collecting unnecessary data false: Xiaomi India MD,"Responding to report saying Mi Browser collects unnecessary information while browsing, Xiaomi India MD Manu Kumar Jain said Xiaomi doesn't collect users' data without consent. The report also alleged Xiaomi sends data to other countries, for which Jain clarified that all Indian users' data is stored locally. He added that all user data in incognito mode was encrypted and anonymised.",technology,"Report on Xiaomi collecting unnecessary data false: Xiaomi India MD. Responding to report saying Mi Browser collects unnecessary information while browsing, Xiaomi India MD Manu Kumar Jain said Xiaomi doesn't collect users' data without consent. The report also alleged Xiaomi sends data to other countries, for which Jain clarified that all Indian users' data is stored locally. He added that all user data in incognito mode was encrypted and anonymised.",report xiaomi collecting unnecessary data false xiaomi india md responding report saying mi browser collect unnecessary information browsing xiaomi india md manu kumar jain said xiaomi doe collect user data without consent report also alleged xiaomi sends data country jain clarified indian user data stored locally added user data incognito mode wa encrypted anonymised
Google Duo may soon let users reach out via email address: Report,"Google Duo may soon launch a feature, 'reachable with email address', that will allow users to reach out to others through email addresses and not just phone numbers. The feature was reported by reverse engineer Jane Manchun Wong who said Google Duo is working on it. The screenshot shared by Wong showed the option in Settings' Account section.",technology,"Google Duo may soon let users reach out via email address: Report. Google Duo may soon launch a feature, 'reachable with email address', that will allow users to reach out to others through email addresses and not just phone numbers. The feature was reported by reverse engineer Jane Manchun Wong who said Google Duo is working on it. The screenshot shared by Wong showed the option in Settings' Account section.",google duo may soon let user reach via email address report google duo may soon launch feature reachable email address allow user reach others email address phone number feature wa reported reverse engineer jane manchun wong said google duo working screenshot shared wong showed option setting account section
I can give my life for Anil Kumble: Gautam Gambhir,"Ex-India opener Gautam Gambhir has said Anil Kumble was the best captain he played under, adding, ""If I've to give my life for someone, it'd be Anil Kumble."" He revealed, ahead of the home series against Australia in 2008, Kumble told him and Sehwag, ""You guys will open throughout the series...Even if you get 8 ducks it doesn't matter.""",sports,"I can give my life for Anil Kumble: Gautam Gambhir. Ex-India opener Gautam Gambhir has said Anil Kumble was the best captain he played under, adding, ""If I've to give my life for someone, it'd be Anil Kumble."" He revealed, ahead of the home series against Australia in 2008, Kumble told him and Sehwag, ""You guys will open throughout the series...Even if you get 8 ducks it doesn't matter.""",give life anil kumble gautam gambhir exindia opener gautam gambhir ha said anil kumble wa best captain played adding give life someone would anil kumble revealed ahead home series australia 2008 kumble told sehwag guy open throughout serieseven get 8 duck doe matter
David Beckham has name of his wife tattooed on his arm in Hindi,"Former England football team captain David Beckham has the name of his wife Victoria inked on his left arm in Hindi. Beckham got the tattoo in 2000, however, it is incorrect as it spells Victoria with an added ""h"" as 'Vihctoria'. Beckham, who celebrates his 45th birthday today, is thought to have more than 40 tattoos.
",sports,"David Beckham has name of his wife tattooed on his arm in Hindi. Former England football team captain David Beckham has the name of his wife Victoria inked on his left arm in Hindi. Beckham got the tattoo in 2000, however, it is incorrect as it spells Victoria with an added ""h"" as 'Vihctoria'. Beckham, who celebrates his 45th birthday today, is thought to have more than 40 tattoos.
",david beckham ha name wife tattooed arm hindi former england football team captain david beckham ha name wife victoria inked left arm hindi beckham got tattoo 2000 however incorrect spell victoria added h vihctoria beckham celebrates 45th birthday today thought 40 tattoo
"Fan asks Chhetri Netflix ID & password, tells him to change password after lockdown","A fan took to Facebook Messenger to ask Indian football team captain Sunil Chhetri his user ID and password of Netflix and asked him to change the password after the lockdown. Sharing a screenshot, Chhetri wrote, ""Here's someone who has priorities straight and it's really making me want to consider the demand.""",sports,"Fan asks Chhetri Netflix ID & password, tells him to change password after lockdown. A fan took to Facebook Messenger to ask Indian football team captain Sunil Chhetri his user ID and password of Netflix and asked him to change the password after the lockdown. Sharing a screenshot, Chhetri wrote, ""Here's someone who has priorities straight and it's really making me want to consider the demand.""",fan asks chhetri netflix id password tell change password lockdown fan took facebook messenger ask indian football team captain sunil chhetri user id password netflix asked change password lockdown sharing screenshot chhetri wrote someone ha priority straight really making want consider demand
Michael Holding calls World Test Championship points system 'ridiculous',"Ex-West Indies pacer Michael Holding has deemed World Test Championship's points system as ""ridiculous"" and stated it won't work in the long run. ""You can't play five Test matches and get the same amount of points if you play two Test matches,"" he said. He added, after a point the matches wouldn't be entertaining as some teams would've already qualified.",sports,"Michael Holding calls World Test Championship points system 'ridiculous'. Ex-West Indies pacer Michael Holding has deemed World Test Championship's points system as ""ridiculous"" and stated it won't work in the long run. ""You can't play five Test matches and get the same amount of points if you play two Test matches,"" he said. He added, after a point the matches wouldn't be entertaining as some teams would've already qualified.",michael holding call world test championship point system ridiculous exwest indie pacer michael holding ha deemed world test championship point system ridiculous stated work long run cannot play five test match get amount point play two test match said added point match would entertaining team would already qualified
"Zidane asked if I wanted his shirt, I said 'I want your sister': Materazzi on headbutt","Recalling former France captain Zinedine Zidane headbutting him in the 2006 FIFA World Cup final, former Italy defender Marco Materazzi said, ""It felt like a big bang."" Materazzi added, ""I didn't want to take yet another scolding from Gattuso and so I held Zidane's shirt...He asked me if I wanted his shirt, I told him I wanted his sister.""",sports,"Zidane asked if I wanted his shirt, I said 'I want your sister': Materazzi on headbutt. Recalling former France captain Zinedine Zidane headbutting him in the 2006 FIFA World Cup final, former Italy defender Marco Materazzi said, ""It felt like a big bang."" Materazzi added, ""I didn't want to take yet another scolding from Gattuso and so I held Zidane's shirt...He asked me if I wanted his shirt, I told him I wanted his sister.""",zidane asked wanted shirt said want sister materazzi headbutt recalling former france captain zinedine zidane headbutting 2006 fifa world cup final former italy defender marco materazzi said felt like big bang materazzi added want take yet another scolding gattuso held zidanes shirthe asked wanted shirt told wanted sister
Brian Lara only cricketer to score 500 runs in an innings,"Ex-Windies captain Brian Lara scored 501*(427) in a county match in 1994, becoming the first and the only player to score 500-plus runs in an innings in professional cricket. Lara hit 62 fours and 10 sixes during his innings, while representing Warwickshire against Durham. Lara, who turns 51 today, also holds the record for the highest individual Test score (400*).",sports,"Brian Lara only cricketer to score 500 runs in an innings. Ex-Windies captain Brian Lara scored 501*(427) in a county match in 1994, becoming the first and the only player to score 500-plus runs in an innings in professional cricket. Lara hit 62 fours and 10 sixes during his innings, while representing Warwickshire against Durham. Lara, who turns 51 today, also holds the record for the highest individual Test score (400*).",brian lara cricketer score 500 run inning exwindies captain brian lara scored 501427 county match 1994 becoming first player score 500plus run inning professional cricket lara hit 62 four 10 six inning representing warwickshire durham lara turn 51 today also hold record highest individual test score 400
Really hope there are not more T20 leagues than int'l cricket after pandemic: Ashwin,"Talking about cricket after coronavirus pandemic, off-spinner Ravichandran Ashwin said, ""I really do hope this pandemic doesn't transpire into something where you've more leagues and not much of international cricket because borders are closed."" Talking about resumption of cricket, Ashwin said, ""In terms of health of world cricket I think it's going to take longer than what people might assume.""",sports,"Really hope there are not more T20 leagues than int'l cricket after pandemic: Ashwin. Talking about cricket after coronavirus pandemic, off-spinner Ravichandran Ashwin said, ""I really do hope this pandemic doesn't transpire into something where you've more leagues and not much of international cricket because borders are closed."" Talking about resumption of cricket, Ashwin said, ""In terms of health of world cricket I think it's going to take longer than what people might assume.""",really hope t20 league intl cricket pandemic ashwin talking cricket coronavirus pandemic offspinner ravichandran ashwin said really hope pandemic doe transpire something league much international cricket border closed talking resumption cricket ashwin said term health world cricket think going take longer people might assume
MS Dhoni always there to help but doesn't offer complete solutions: Rishabh Pant,"Wicketkeeper-batsman Rishabh Pant has said MS Dhoni has been like a mentor to him both on and off the field, adding that he can approach him freely with any problem. ""He'll never give me the entire solution...This is so that I don't become entirely dependent on him. He gives me hints only that helps me solve issues myself,"" Pant added.",sports,"MS Dhoni always there to help but doesn't offer complete solutions: Rishabh Pant. Wicketkeeper-batsman Rishabh Pant has said MS Dhoni has been like a mentor to him both on and off the field, adding that he can approach him freely with any problem. ""He'll never give me the entire solution...This is so that I don't become entirely dependent on him. He gives me hints only that helps me solve issues myself,"" Pant added.",dhoni always help doe offer complete solution rishabh pant wicketkeeperbatsman rishabh pant ha said dhoni ha like mentor field adding approach freely problem never give entire solutionthis become entirely dependent give hint help solve issue pant added
I thought of committing suicide three times in 2018: Mohammad Shami,"Pacer Mohammad Shami has revealed he thought of committing suicide three times in 2018 due to ""severe stress and personal problems"". ""I wasn't thinking about cricket at all. We were living on the 24th floor. My family was scared I might jump from balcony,"" he added. ""Someone used to stay with me 24x7, I wasn't well mentally,"" he further said.",sports,"I thought of committing suicide three times in 2018: Mohammad Shami. Pacer Mohammad Shami has revealed he thought of committing suicide three times in 2018 due to ""severe stress and personal problems"". ""I wasn't thinking about cricket at all. We were living on the 24th floor. My family was scared I might jump from balcony,"" he added. ""Someone used to stay with me 24x7, I wasn't well mentally,"" he further said.",thought committing suicide three time 2018 mohammad shami pacer mohammad shami ha revealed thought committing suicide three time 2018 due severe stress personal problem wa thinking cricket living 24th floor family wa scared might jump balcony added someone used stay 24x7 wa well mentally said
GoT's 'The Mountain' sets world deadlift record by lifting 501 kgs,"Icelandic professional strongman and actor Hafþór Björnsson on Saturday set a deadlift world record by lifting 501 kilograms, breaking former British professional strongman Eddie Hall's record of lifting 500 kilograms. Hafþór, known for playing 'The Mountain' in 'Game of Thrones', held the lift for two seconds. ""I could've done more, but what's the point? I'm happy with this,"" he said.",sports,"GoT's 'The Mountain' sets world deadlift record by lifting 501 kgs. Icelandic professional strongman and actor Hafþór Björnsson on Saturday set a deadlift world record by lifting 501 kilograms, breaking former British professional strongman Eddie Hall's record of lifting 500 kilograms. Hafþór, known for playing 'The Mountain' in 'Game of Thrones', held the lift for two seconds. ""I could've done more, but what's the point? I'm happy with this,"" he said.",gots mountain set world deadlift record lifting 501 kg icelandic professional strongman actor hafor bjornsson saturday set deadlift world record lifting 501 kilogram breaking former british professional strongman eddie hall record lifting 500 kilogram hafor known playing mountain game throne held lift two second could done point happy said
Serie A to begin individual training sessions from Monday ,"The Italian football league Serie A will begin individual training sessions from Monday. This comes after the Italian interior ministry issued a clarification regarding eased restrictions. Initially, Italian PM Giuseppe Conte had said that individual training could start on May 4, however, the sports minister claimed that only athletes in individual sports could begin training.",sports,"Serie A to begin individual training sessions from Monday . The Italian football league Serie A will begin individual training sessions from Monday. This comes after the Italian interior ministry issued a clarification regarding eased restrictions. Initially, Italian PM Giuseppe Conte had said that individual training could start on May 4, however, the sports minister claimed that only athletes in individual sports could begin training.",serie begin individual training session monday italian football league serie begin individual training session monday come italian interior ministry issued clarification regarding eased restriction initially italian pm giuseppe conte said individual training could start may 4 however sport minister claimed athlete individual sport could begin training
